Model,Params,MSE_val,MAE_train,MAE_val,RMSE_train,RMSE_val,R2_train,R2_val,feature_subset
RandomForest,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 50}",2.0181994392699614,0.5740632710912658,1.1253725900911355,0.7925424764333735,1.420633464082119,0.5194647559642491,-0.544707284626725,"['days_since_election', 'seats']"
RandomForest,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",2.024761180351282,0.5734712617406684,1.1272433624994422,0.7912794649417176,1.4229410319304459,0.5209916717358357,-0.5487783077670693,"['days_since_election', 'seats']"
RandomForest,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",2.005416199074344,0.5735273895117076,1.1221821562197416,0.7918399929235828,1.416127183226967,0.5203252571926104,-0.5312315490001691,"['days_since_election', 'seats']"
RandomForest,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 20}",2.0290388038429623,0.5771290751782583,1.1254777290413205,0.7975490326213237,1.4244433312150266,0.5134228051131313,-0.5544245337059095,"['days_since_election', 'seats']"
RandomForest,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50}",2.0143925925377473,0.5751868743538788,1.1244414570770962,0.7944174886520494,1.4192929903785714,0.5172040123859969,-0.5411608384275323,"['days_since_election', 'seats']"
RandomForest,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",2.0209121141601907,0.5746210137002326,1.1263227151199253,0.7932119255245731,1.4215878847824326,0.5186604718983516,-0.5451245786899878,"['days_since_election', 'seats']"
RandomForest,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",2.003239283372729,0.5747111369560736,1.12178959712358,0.7937170228570187,1.415358358640217,0.5180611357523472,-0.5293832642804983,"['days_since_election', 'seats']"
RandomForest,"{'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 20}",2.41107414179591,0.4552537681186018,1.2037353383864196,0.6306703181244172,1.5527633888638377,0.6953702137469343,-0.8375508713509925,"['days_since_election', 'seats']"
RandomForest,"{'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50}",2.373300222411465,0.4529054576886469,1.199321154550474,0.624081549949903,1.5405519213617778,0.7016984317434551,-0.8088118948695494,"['days_since_election', 'seats']"
RandomForest,"{'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",2.3975686904672187,0.45229169513434747,1.2037722764679444,0.6218065999934,1.5484084378700662,0.7038007637920125,-0.8282799978865003,"['days_since_election', 'seats']"
RandomForest,"{'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",2.3613967388897863,0.45265195086922594,1.1986730449731096,0.6222762418949815,1.5366836821186676,0.7033615148952205,-0.7994041825580891,"['days_since_election', 'seats']"
RandomForest,"{'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 20}",2.346984919457182,0.4901242767395866,1.1952704918078783,0.6696577092506157,1.5319872452005538,0.6566883039076091,-0.7933178305019124,"['days_since_election', 'seats']"
RandomForest,"{'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 50}",2.295670973681518,0.48779288499846346,1.1885677353259987,0.6652262255089214,1.5151471788844535,0.6612403110709086,-0.7497999746242412,"['days_since_election', 'seats']"
RandomForest,"{'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",2.3227359223538104,0.4869526357833688,1.1937456228154935,0.6632659887383532,1.5240524670607014,0.6631779474608562,-0.7708165647947273,"['days_since_election', 'seats']"
RandomForest,"{'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",2.287097803627689,0.48698552888313107,1.1881491369182071,0.663801875759663,1.51231537836117,0.662652596055848,-0.7428443333876642,"['days_since_election', 'seats']"
RandomForest,"{'max_depth': 15, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 20}",2.162512015966556,0.5060687720361835,1.1636144766863725,0.7093998003500035,1.4705482025307963,0.6149560607072371,-0.6573702819895014,"['days_since_election', 'seats']"
RandomForest,"{'max_depth': 15, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 50}",2.1360886062805666,0.5035052783427452,1.1585201003773926,0.7045690743536117,1.4615363855479502,0.6202325334006591,-0.6365488834411831,"['days_since_election', 'seats']"
RandomForest,"{'max_depth': 15, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",2.1438684699620385,0.5025166933865927,1.1613426270550877,0.7029937123957859,1.4641955026437004,0.621896129783619,-0.6420972087550946,"['days_since_election', 'seats']"
